date,region,product,unit_price,units_sold,revenue,customer_rating
2024-02-07,South,Widget A,40.32,37,1491.87,5.0
2024-02-08,North,Widget A,34.61,20,692.17,5.0
2024-02-09,East,Gadget X,58.57,20,1171.32,5.0
2024-02-10,South,Widget B,52.9,44,2327.59,5.0
2024-02-11,West,Widget C,42.63,28,7162.22,
2024-02-12,East,Gadget X,67.41,8,539.31,2.0
2024-02-13,South,Widget A,44.71,36,1609.64,4.0
2024-02-14,West,Widget A,50.39,29,1461.17,4.0
2024-02-15,West,Widget A,53.23,25,1330.67,
2024-02-16,South,Widget A,42.56,36,1532.3,5.0
2024-02-17,North,Widget A,55.65,45,2504.41,5.0
2024-02-18,East,Gadget X,43.6,17,741.18,4.0
2024-02-19,North,Widget C,45.06,21,946.27,
2024-02-20,North,Gadget X,66.35,10,663.52,4.0
2024-02-21,North,Gadget X,37.51,32,1200.41,4.0
2024-02-22,East,Gadget X,21.05,20,420.93,
2024-02-23,East,Widget A,69.33,17,1178.63,4.0
2024-02-24,East,Widget B,80.59,35,2820.72,4.0
2024-02-25,East,Gadget X,45.14,20,902.74,5.0
2024-02-26,South,Widget A,26.76,23,615.43,3.0
2024-02-27,East,Widget A,46.27,22,1018.03,4.0
2024-02-28,North,Widget C,46.57,13,605.35,4.0
2024-02-29,North,Gadget X,47.72,7,334.05,3.0
2024-03-01,East,Gadget X,36.64,41,1502.21,5.0
2024-03-02,South,Gadget X,56.95,5,284.77,5.0
2024-03-03,East,Widget A,56.29,16,5404.23,4.0
2024-03-04,East,Gadget X,32.07,33,1058.22,4.0
2024-03-05,East,Gadget X,58.39,7,408.73,4.0
2024-03-06,East,Widget C,74.63,33,2462.86,5.0
2024-03-07,East,Gadget X,52.06,36,1874.29,
2024-03-08,South,Gadget X,45.95,33,1516.42,
2024-03-09,North,Widget B,48.3,15,724.44,4.0
2024-03-10,South,Widget A,57.38,1,57.38,4.0
2024-03-11,North,Widget B,29.23,44,1286.21,4.0
2024-03-12,South,Widget A,51.97,17,883.54,5.0
2024-03-13,West,Widget A,45.31,40,1812.58,4.0
2024-03-14,North,Widget A,72.17,10,721.74,5.0
2024-03-15,North,Widget C,47.91,8,383.28,5.0
2024-03-16,North,Widget C,70.01,39,2730.57,4.0
2024-03-17,North,Widget C,36.76,47,1727.49,4.0
2024-03-18,East,Widget C,57.05,43,2453.03,4.0
2024-03-19,East,Widget C,53.83,37,1991.81,3.0
2024-03-20,East,Widget C,39.57,13,514.43,4.0
2024-03-21,East,Widget A,52.13,45,2345.79,5.0
2024-03-22,South,Gadget X,64.55,33,2130.16,4.0
2024-03-23,West,Widget B,46.11,9,415.03,4.0
2024-03-24,North,Widget A,29.7,7,207.88,5.0
2024-03-25,North,Gadget X,49.79,43,2140.94,5.0
2024-03-26,North,Widget C,39.17,14,548.39,4.0
2024-03-27,East,Widget A,45.89,38,1743.89,5.0
2024-03-28,South,Widget A,49.02,7,343.15,
2024-03-29,North,Widget A,29.53,14,413.45,5.0
2024-03-30,South,Widget B,30.61,14,428.57,5.0
2024-03-31,North,Widget A,55.78,14,780.99,3.0
2024-04-01,East,Widget C,43.73,34,1486.73,
2024-04-02,South,Widget C,19.22,45,865.04,4.0
2024-04-03,South,Gadget X,59.42,45,2673.82,
2024-04-04,South,Widget C,53.27,37,1970.93,5.0
2024-04-05,East,Widget C,41.43,10,414.34,1.0
2024-04-06,South,Widget C,34.2,48,1641.51,2.0
2024-04-07,North,Widget A,60.03,27,1620.8,5.0
2024-04-08,North,Widget A,54.19,27,1463.19,5.0
2024-04-09,West,Widget C,78.59,35,2750.69,2.0
2024-04-10,West,Widget A,55.04,38,2091.61,5.0
2024-04-11,East,Widget A,54.65,47,15411.99,5.0
2024-04-12,North,Widget A,48.0,29,1391.91,4.0
2024-04-13,West,Gadget X,59.8,30,1794.04,4.0
2024-04-14,East,Widget B,57.5,37,2127.54,1.0
2024-04-15,East,Widget C,65.02,13,845.27,5.0
2024-04-16,South,Widget B,43.74,16,699.91,4.0
2024-04-17,North,Widget A,44.78,31,1388.03,5.0
2024-04-18,North,Widget B,44.25,4,177.0,4.0
2024-04-19,West,Widget A,59.49,16,951.83,5.0
2024-04-20,South,Gadget X,67.98,36,2447.3,4.0
2024-04-21,North,Widget A,44.49,48,2135.71,4.0
2024-04-22,South,Widget B,44.9,26,1167.47,5.0
2024-04-23,East,Gadget X,53.77,20,1075.38,4.0
2024-04-24,North,Widget C,47.05,22,1035.12,5.0
2024-04-25,West,Widget B,61.42,34,2088.44,
2024-04-26,East,Widget C,22.98,27,620.42,
2024-04-27,East,Gadget X,40.08,2,80.16,5.0
2024-04-28,South,Widget B,40.61,27,1096.5,4.0
2024-04-29,East,Widget C,22.16,20,443.11,5.0
2024-04-30,East,Gadget X,38.44,35,1345.27,5.0
2024-05-01,East,Widget C,39.02,43,1677.78,4.0
2024-05-02,North,Widget B,47.59,48,2284.16,3.0
2024-05-03,South,Widget A,63.36,30,1900.67,5.0
2024-05-04,North,Widget A,47.06,18,847.07,4.0
2024-05-05,South,Gadget X,37.63,22,827.87,5.0
2024-05-06,South,Widget C,49.32,9,443.85,
2024-05-07,North,Widget B,62.59,46,2879.14,5.0
2024-05-08,North,Widget B,38.29,42,1608.12,4.0
2024-05-09,East,Widget C,39.07,42,1641.07,4.0
2024-05-10,North,Widget C,56.7,17,963.94,4.0
2024-05-11,West,Widget C,47.34,16,757.47,3.0
2024-05-12,East,Widget B,57.77,42,2426.33,5.0
2024-05-13,South,Widget C,49.84,27,1345.58,5.0
2024-05-14,East,Widget B,58.42,35,2044.7,4.0
2024-05-15,North,Gadget X,37.58,25,939.48,4.0
2024-05-16,West,Widget A,49.85,22,1096.81,5.0
2024-05-17,South,Widget A,47.47,31,1471.62,2.0
2024-05-18,East,Widget B,35.41,40,8498.23,5.0
2024-05-19,North,Widget C,31.24,17,531.05,4.0
2024-05-20,South,Widget C,58.23,40,2329.16,5.0
2024-05-21,South,Widget B,45.79,12,549.46,4.0
2024-05-22,West,Gadget X,37.73,20,754.65,5.0
2024-05-23,East,Widget B,48.85,45,2198.06,4.0
2024-05-24,South,Widget A,63.54,47,2986.2,5.0
2024-05-25,North,Widget A,22.63,46,1041.03,2.0
2024-05-26,South,Gadget X,32.04,16,512.65,4.0
2024-05-27,South,Widget A,38.93,42,1634.87,5.0
2024-05-28,South,Gadget X,67.53,46,3106.57,4.0
2024-05-29,North,Widget B,53.39,48,2562.77,3.0
2024-05-30,West,Widget A,59.21,2,118.42,4.0
2024-05-31,West,Widget B,36.32,37,1343.77,4.0
2024-06-01,North,Widget C,36.57,49,1791.71,3.0
2024-06-02,East,Widget B,55.37,38,2104.2,
2024-06-03,North,Gadget X,50.7,12,3650.35,4.0
2024-06-04,East,Widget C,56.58,38,2150.22,5.0
2024-06-05,North,Widget B,47.75,6,286.49,
2024-06-06,East,Widget C,53.34,24,1280.11,3.0
2024-06-07,East,Gadget X,51.9,31,1608.82,5.0
2024-06-08,East,Widget B,59.33,23,1364.66,5.0
2024-06-09,North,Widget A,59.68,35,2088.94,5.0
2024-06-10,West,Widget B,30.56,12,366.74,4.0
2024-06-11,North,Gadget X,23.03,30,690.98,4.0
2024-06-12,North,Widget A,62.02,32,1984.67,2.0
2024-06-13,East,Gadget X,64.25,32,2056.09,5.0
2024-06-14,South,Widget C,37.75,15,566.29,
2024-06-15,West,Widget C,27.68,15,415.23,
2024-06-16,West,Widget B,51.19,13,665.45,2.0
2024-06-17,South,Gadget X,61.17,23,1406.91,5.0
2024-06-18,West,Widget A,71.57,29,2075.56,4.0
2024-06-19,North,Widget B,56.2,18,1011.52,
2024-06-20,South,Widget B,45.54,21,956.33,2.0
2024-06-21,North,Widget B,39.28,15,589.24,
2024-06-22,West,Widget B,50.14,11,551.51,5.0
2024-06-23,North,Widget A,46.41,33,1531.49,3.0
2024-06-24,North,Widget A,37.82,40,1512.77,3.0
2024-06-25,South,Widget A,74.59,15,1118.78,5.0
2024-06-26,West,Widget C,71.42,43,3071.15,4.0
2024-06-27,West,Widget B,63.63,28,1781.71,5.0
2024-06-28,East,Widget C,38.95,9,350.55,
2024-06-29,West,Widget C,60.26,18,1084.68,5.0
2024-06-30,West,Widget C,57.68,1,57.68,4.0
2024-07-01,South,Widget C,55.31,2,110.62,4.0
2024-07-02,South,Widget C,65.0,17,1104.93,3.0
2024-07-03,East,Widget C,57.62,23,1325.36,
2024-07-04,East,Widget C,58.88,40,2355.21,4.0
2024-07-05,South,Widget C,57.64,7,403.5,4.0
2024-07-06,North,Widget B,54.09,42,2271.76,4.0
2024-07-07,East,Widget A,28.6,12,343.16,
2024-07-08,North,Gadget X,51.0,7,357.02,3.0
2024-07-09,West,Widget B,43.33,35,1516.4,5.0
2024-07-10,North,Widget C,34.64,38,1316.39,5.0
2024-07-11,North,Widget A,70.18,30,2105.45,5.0
2024-07-12,West,Widget B,70.75,6,424.49,
2024-07-13,North,Widget C,66.31,6,397.86,5.0
2024-07-14,North,Widget C,53.06,20,1061.25,
2024-07-15,East,Widget C,66.21,23,1522.77,3.0
2024-07-16,West,Widget B,50.14,49,2457.09,5.0
2024-07-17,North,Gadget X,52.43,15,786.5,5.0
2024-07-18,South,Widget C,36.88,10,368.78,5.0
2024-07-19,East,Gadget X,54.76,47,2573.9,5.0
2024-07-20,West,Widget C,50.72,8,405.8,
2024-07-21,South,Widget C,34.37,2,68.74,5.0
2024-07-22,North,Gadget X,49.39,21,1037.1,4.0
2024-07-23,North,Widget A,49.04,20,980.86,4.0
2024-07-24,North,Gadget X,71.57,31,2218.69,4.0
2024-07-25,North,Gadget X,60.73,44,2672.14,4.0
2024-07-26,East,Widget C,50.14,46,2306.32,4.0
2024-07-27,North,Widget C,52.99,15,794.78,3.0
2024-07-28,South,Widget C,50.53,49,2476.0,3.0
2024-07-29,East,Widget B,47.57,32,1522.08,5.0
2024-07-30,East,Gadget X,37.01,4,148.04,4.0
2024-07-31,North,Widget A,48.19,46,2216.62,
2024-08-01,West,Widget B,41.05,7,287.33,5.0
2024-08-02,East,Widget C,35.0,29,1014.89,2.0
2024-08-03,East,Gadget X,56.13,39,2189.25,4.0
2024-08-04,North,Widget B,54.7,13,711.04,4.0
2024-08-05,North,Widget B,28.56,14,399.83,
2024-08-06,West,Widget A,48.53,24,1164.67,4.0
2024-08-07,South,Widget A,61.95,44,2725.73,5.0
2024-08-08,South,Widget A,62.71,11,689.82,
2024-08-09,South,Widget A,62.31,33,2056.23,
2024-08-10,East,Gadget X,50.47,23,1160.74,4.0
2024-08-11,West,Gadget X,39.86,6,1434.94,2.0
2024-08-12,North,Gadget X,37.0,35,1294.85,4.0
2024-08-13,West,Widget A,54.14,41,2219.55,3.0
2024-08-14,North,Widget A,54.55,29,1581.99,4.0
2024-08-15,East,Widget B,65.45,9,589.03,5.0
2024-08-16,East,Widget C,63.2,8,505.6,
2024-08-17,North,Widget B,48.41,21,1016.68,5.0
2024-08-18,North,Widget B,35.07,25,876.74,5.0
2024-08-19,South,Widget A,46.17,28,1292.78,4.0
2024-08-20,West,Widget C,52.61,12,631.28,5.0
2024-08-21,East,Widget B,47.58,25,1189.38,5.0
2024-08-22,West,Widget A,43.07,15,645.98,5.0
2024-08-23,West,Widget C,53.03,34,1803.18,
2024-08-24,South,Gadget X,43.95,40,1758.1,4.0
2024-08-25,East,Widget A,42.46,32,1358.82,3.0
2024-08-26,North,Widget B,53.74,1,53.74,4.0
2024-08-27,North,Gadget X,45.18,49,2213.63,4.0
2024-08-28,West,Widget C,52.93,2,105.86,
2024-08-29,East,Gadget X,53.28,49,2610.64,4.0
2024-08-30,North,Widget B,36.33,2,72.65,5.0
2024-08-31,South,Widget B,44.23,26,1149.85,5.0
2024-09-01,East,Widget C,67.25,6,403.52,4.0
2024-09-02,West,Widget A,36.06,5,180.28,4.0
2024-09-03,East,Widget A,24.6,34,836.4,5.0
2024-09-04,South,Widget C,27.66,36,995.68,5.0
2024-09-05,South,Widget C,50.35,6,302.1,4.0
2024-09-06,South,Widget A,50.37,48,2417.81,4.0
2024-09-07,East,Widget C,48.59,16,777.42,5.0
2024-09-08,West,Widget B,64.57,16,1033.12,4.0
2024-09-09,South,Widget C,17.93,15,268.89,
2024-09-10,North,Gadget X,54.75,23,1259.28,4.0
2024-09-11,North,Widget A,68.74,9,618.64,3.0
2024-09-12,East,Gadget X,36.47,21,765.8,4.0
2024-09-13,West,Widget B,45.44,11,499.87,5.0
2024-09-14,North,Gadget X,40.97,3,122.9,5.0
2024-09-15,North,Widget B,39.27,19,746.09,4.0
2024-09-16,East,Widget B,46.08,33,1520.8,
2024-09-17,North,Gadget X,67.13,38,2550.93,4.0
2024-09-18,West,Widget C,72.05,18,1296.88,4.0
2024-09-19,South,Widget A,45.97,16,735.5,4.0
2024-09-20,North,Widget C,72.86,39,2841.57,3.0
2024-09-21,West,Gadget X,50.43,34,1714.52,5.0
2024-09-22,North,Widget B,71.04,41,2912.82,4.0
2024-09-23,North,Gadget X,48.88,45,2199.62,5.0
2024-09-24,North,Widget C,51.57,41,2114.48,3.0
2024-09-25,North,Widget B,54.39,46,2501.74,
2024-09-26,North,Widget A,88.15,21,1851.07,4.0
2024-09-27,North,Widget C,60.22,20,1204.31,5.0
2024-09-28,North,Widget A,41.51,16,664.21,4.0
2024-09-29,North,Gadget X,61.63,12,739.54,3.0
2024-09-30,East,Widget C,45.66,37,1689.35,5.0
2024-10-01,East,Widget B,44.12,36,1588.43,5.0
2024-10-02,South,Widget A,60.9,40,2436.13,5.0
2024-10-03,South,Widget C,50.37,9,453.36,4.0
2024-10-04,South,Widget A,53.34,25,1333.57,5.0
2024-10-05,West,Widget B,50.17,11,551.85,5.0
2024-10-06,West,Gadget X,54.04,44,2377.72,5.0
2024-10-07,North,Gadget X,55.1,14,771.39,4.0
2024-10-08,North,Gadget X,26.76,8,214.05,5.0
2024-10-09,North,Gadget X,58.0,28,1623.97,5.0
2024-10-10,North,Widget C,38.22,44,1681.49,
2024-10-11,East,Widget A,32.69,45,1471.16,4.0
2024-10-12,South,Gadget X,49.3,5,246.5,4.0
2024-10-13,North,Gadget X,51.01,16,816.12,5.0
2024-10-14,South,Gadget X,41.68,8,333.42,5.0
2024-10-15,South,Widget C,59.97,16,959.56,5.0
2024-10-16,North,Widget A,33.89,27,915.14,4.0
2024-10-17,West,Widget C,45.12,14,631.63,4.0
2024-10-18,North,Widget B,42.98,4,171.93,5.0
2024-10-19,West,Gadget X,49.44,25,1236.02,3.0
2024-10-20,North,Widget B,53.35,3,160.04,4.0
2024-10-21,West,Widget B,37.91,12,454.86,5.0
2024-10-22,West,Widget A,58.69,1,58.69,5.0
2024-10-23,West,Gadget X,50.76,5,253.78,5.0
2024-10-24,West,Gadget X,27.3,22,600.53,4.0
2024-10-25,East,Widget A,26.5,42,6677.22,3.0
2024-10-26,East,Widget B,49.85,38,1894.38,
2024-10-27,East,Widget B,47.35,5,236.74,4.0
2024-10-28,North,Widget B,48.76,2,97.52,4.0
2024-10-29,South,Gadget X,49.66,17,844.29,4.0
2024-10-30,South,Widget A,52.71,32,1686.61,5.0
2024-10-31,West,Widget B,61.37,37,2270.76,5.0
2024-11-01,South,Widget A,36.67,41,1503.34,5.0
2024-11-02,South,Widget A,35.94,17,610.92,5.0
2024-11-03,East,Gadget X,36.88,9,331.92,4.0
2024-11-04,North,Gadget X,53.47,2,106.93,4.0
2024-11-05,North,Widget A,64.94,8,519.51,4.0
2024-11-06,South,Widget C,44.82,4,179.3,3.0
2024-11-07,South,Widget A,19.98,43,859.12,4.0
2024-11-08,North,Widget A,29.55,14,413.73,4.0
2024-11-09,South,Widget B,40.0,41,1640.15,3.0
2024-11-10,South,Widget A,43.31,28,1212.6,5.0
2024-11-11,South,Widget B,45.1,27,1217.68,5.0
2024-11-12,South,Gadget X,50.46,23,1160.65,3.0
2024-11-13,East,Widget C,46.26,41,1896.62,4.0
2024-11-14,North,Widget C,62.59,3,187.78,5.0
2024-11-15,West,Widget B,41.89,5,209.44,5.0
2024-11-16,West,Widget A,39.65,21,832.7,5.0
2024-11-17,South,Widget A,55.75,20,1114.93,4.0
2024-11-18,South,Widget B,31.57,27,852.45,5.0
2024-11-19,South,Widget A,54.68,37,2023.02,4.0
2024-11-20,West,Gadget X,51.23,29,1485.69,4.0
2024-11-21,East,Gadget X,48.23,13,627.0,4.0
2024-11-22,West,Gadget X,69.06,17,1174.01,4.0
2024-11-23,South,Widget C,42.53,37,9442.44,4.0
2024-11-24,East,Widget C,74.72,10,747.24,4.0
2024-11-25,North,Widget C,47.29,25,1182.37,5.0
2024-11-26,East,Widget B,34.68,27,936.25,4.0
2024-11-27,North,Widget C,50.84,37,1881.04,4.0
2024-11-28,East,Gadget X,37.09,36,1335.06,3.0
2024-11-29,West,Gadget X,40.98,23,942.52,4.0
2024-11-30,North,Widget C,54.76,16,876.23,4.0
2024-12-01,East,Widget A,56.67,19,1076.67,4.0
2024-12-02,North,Widget C,42.53,21,893.21,4.0
2024-12-03,East,Widget B,61.85,11,680.34,5.0
2024-12-04,North,Widget C,63.89,31,1980.59,
2024-12-05,West,Widget C,67.24,11,739.59,4.0
2024-12-06,North,Gadget X,56.35,32,1803.29,5.0
2024-12-07,West,Widget B,66.36,37,2455.36,5.0
2024-12-08,West,Gadget X,27.43,48,1316.66,
2024-12-09,East,Gadget X,46.19,6,277.11,5.0
2024-12-10,East,Widget B,39.6,38,1504.65,5.0
2024-12-11,East,Widget B,51.43,5,257.15,
2024-12-12,West,Widget C,43.14,17,733.42,5.0
2024-12-13,North,Gadget X,48.01,9,432.05,4.0
2024-12-14,East,Widget C,72.59,8,580.69,3.0
2024-12-15,North,Gadget X,47.96,9,431.67,1.0
2024-12-16,East,Widget B,54.97,3,164.9,4.0
2024-12-17,North,Widget C,47.21,41,1935.72,4.0
2024-12-18,East,Widget B,50.91,3,152.73,4.0
2024-12-19,East,Gadget X,50.07,20,1001.44,5.0
2024-12-20,South,Widget B,55.38,35,1938.3,5.0
2024-12-21,South,Widget C,63.98,49,3135.2,5.0
2024-12-22,East,Widget A,69.77,42,2930.29,3.0
2024-12-23,East,Gadget X,53.72,7,376.01,4.0
2024-12-24,South,Widget B,57.07,49,2796.65,5.0
2024-12-25,East,Widget B,36.19,33,1194.26,5.0
2024-12-26,West,Widget C,48.95,9,440.51,
2024-12-27,North,Widget B,61.28,22,1348.24,5.0
2024-12-28,North,Gadget X,60.39,45,2717.62,5.0
2024-12-29,North,Widget C,52.54,20,1050.79,4.0
2024-12-30,East,Widget C,60.64,9,545.73,4.0
2024-12-31,South,Widget A,55.89,43,2403.24,4.0
2025-01-01,East,Widget A,64.4,47,3026.97,5.0
2025-01-02,East,Widget B,53.47,48,2566.67,
2025-01-03,South,Gadget X,45.73,47,2149.39,4.0
2025-01-04,West,Gadget X,54.03,43,2323.29,5.0
2025-01-05,East,Widget C,14.83,23,341.16,4.0
2025-01-06,North,Widget C,54.59,10,545.95,4.0
2025-01-07,South,Widget B,6.22,31,192.79,4.0
2025-01-08,South,Widget A,29.32,11,322.5,3.0
2025-01-09,North,Widget A,55.42,24,1330.11,
2025-01-10,North,Widget B,55.73,33,1839.1,4.0
2025-01-11,West,Widget B,36.05,47,1694.39,5.0
2025-01-12,South,Widget A,41.45,15,621.82,5.0
2025-01-13,South,Widget B,66.45,13,863.8,4.0
2025-01-14,East,Widget A,44.19,37,1635.09,4.0
2025-01-15,East,Widget C,76.92,1,76.92,5.0
2025-01-16,West,Gadget X,49.98,28,1399.35,4.0
2025-01-17,East,Widget C,54.9,37,2031.17,
2025-01-18,South,Widget B,69.4,27,1873.87,3.0
2025-01-19,South,Widget B,51.57,19,979.87,5.0
2025-01-20,West,Widget B,37.97,41,1556.85,5.0
2025-01-21,East,Widget A,48.68,19,924.98,4.0
2025-01-22,West,Widget C,49.57,35,1735.04,4.0
2025-01-23,North,Widget C,33.62,23,773.33,
2025-01-24,West,Widget A,46.93,2,93.86,4.0
2025-01-25,East,Widget B,41.09,26,1068.44,4.0
2025-01-26,North,Widget B,61.09,3,183.28,4.0
2025-01-27,East,Widget A,50.42,46,2319.11,4.0
2025-01-28,East,Widget C,46.61,30,1398.19,5.0
2025-01-29,North,Widget C,48.73,19,925.79,5.0
2025-01-30,South,Widget C,52.68,24,1264.26,4.0
2025-01-31,West,Widget C,57.4,31,1779.45,5.0
2025-02-01,North,Gadget X,38.0,13,494.04,4.0
2025-02-02,South,Gadget X,37.5,15,562.51,1.0
2025-02-03,South,Widget C,63.26,21,1328.38,5.0
